nom,email,ville,secteur,raison_specifique
ELECTRO-STANDARD,mikael.musseau@electro-standard.com,Vern Sur Seiche,Electronique & Systemes,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Mikael Musseau"
MICRO REPAIRE,microrepaire@gmail.com,Chaudefonds,Maintenance & Support IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Thomas Berthaud"
MY Micro,mfuller@my-micro.net,Angers,Maintenance & Support IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Marc Fuller"
MCT Informatique,martin@mct-informatique.fr,Chemille-En-Anjou,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Martin Brossard"
CLICK DROIT INFORMATIQUE,manu@cdi79.info,Bressuire,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Emmanuel COTILLEAU"
ELECTR SYSTEMES 53,magcraon@electrosystem53.com,Craon,Electronique & Systemes,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : JOUBERT"
ELECTRO SYSTEME,magcg@electrosystem53.com,Chateau-Gontier,Electronique & Systemes,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Loic MINDREN"
ONILLION Technologies,magasin.onillon@wanadoo.fr,Nueil Les Aubiers,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Matthieu ONILLON"
E44 ELECTRONIQUE,luc.visonneau.eee@gmail.com,Nantes,Electronique & Systemes,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Luc VISONNEAU"
MICRO GENIE,ksoulard@micro-genie.fr,Les Herbiers,Maintenance & Support IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : SOULARD"
Joseph electricité,josephelectricite@gmail.com,Mortagne S/ Sevre,Electronique & Systemes,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Joseph Koffi"
JMS Technique,jms.technique@neuf.fr,Saint-Macaire-En-Mauges,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Jean-Marc SEVAUX"
ELECTRO  STANDARD,jerome.vallat@electro-standard.com,Sainte-Luce-Sur-Loire,Electronique & Systemes,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Jérôme VALLAT"
ISATIS Informatique,jeanfrancois@isatisinfo.fr,Cholet,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Jean François BOURASSEAU"
BODET SOFTWARE,jean-luc.fourrier@bodet-software.com,Cholet Cedex,Developpement & Logiciel,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Nicolas Legrier"
@Info-dépanne49,infodepanne49@orange.fr,Les Ponts-De-Ce,Maintenance & Support IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Florent Berg"
INFOCASSE,infocasse53@sfr.fr,Craon,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Kévin LEXTERIAQUE"
RDG INFORMATIQUE,info@rdg-informatique.fr,Angers,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Fredéric ROSEAU"
QUADRA Bureautique,info@quadra.fr,Cholet,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : LECOUBLET"
CARTHAGE INFORMATIQUE,info@maintenance-informatique-cholet.fr,Cholet,Informatique / IT,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
Inforézo,info@inforezo.fr,Cholet,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Amandine Hervouët"
IMMOTECH MEDIA TECH,immo.media.tech@outlook.com,Sada,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : SIRADJIDDINE"
GUILLAUME DEPANNAGE INFORMATIQUE,gdi49@orange.fr,Chemille Melay,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Guillaume BENINJ"
CE-NET Informatique,fredvincent@cenetinfo.net,Cholet,Reseaux & Infrastructure,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Frédéric VINCENT"
Almeria Solutions Informatiques,fforest@almeria.fr,Cholet,Cloud & Solutions IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Franck FOREST"
Eden Solutions,f.guinard@eden-solutions.fr,Nancy,Cloud & Solutions IT,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
SARL ELECTRO CLIC,electro.clic@yahoo.fr,Angrie,Electronique & Systemes,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Eric LANGLOIS"
ELECTHAE,electhae@gmail.com,Fontaine Guerin,Electronique & Systemes,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : BELLENOUS"
Saumur Informatique,direction@saumur-informatique.fr,Saumur,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Christophe Savigny"
DIGITAL Angers,digital.angers@cegetel.net,Angers,Cloud & Solutions IT,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
DF INFORMATIQUE,demolieres@dfinfo.fr,Clisson,Informatique / IT,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
PIXEL Informatiques Services,contct@pixel-is.com,Chateaubriand,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : BARTHELEMY"
TR Informatique-Service,contact@trinformatique-service.fr,La Pommeraye,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Tony Relion"
Syllès Informatique,contact@sylles.fr,Gennes-Val-De-Loire,Informatique / IT,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
NGV Electronique,contact@ngvelectronique.com,Cholet,Electronique & Systemes,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Simon ROUTHIAU"
Msa systeme,contact@msa-systemes.fr,Torfou,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Breret"
MICRO SERVICES,contact@mico-service.fr,Angers,Maintenance & Support IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Freddy Rucquois"
Link6 informatique,contact@link6.fr,Varades,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Leprestre"
L'ATELIER des REPARATIONS,contact@latelierdesreparations.fr,Reze,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Steeve GODONNEAU"
SARL BOUTIQUE INFORMATIQUE,contact@laboutique-informatique.fr,Segre,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : David PRIOU"
GC elect,contact@gc44.fr,Mesanger,Electronique & Systemes,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Cyrille Giorgetti"
eCONNECT INFORMATIQUE,contact@e-connect-informatique.net,Saint-Georges-Sur-Loire,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : FOYER"
DGC Micro,contact@dgmicro.com,Doue-La-Fontaine,Maintenance & Support IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : GASTINEAU"
DGC MICRO,contact@dgcmicro.com,Doue-La-Fontaine,Maintenance & Support IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Vincent GASTINEAU"
DANIEL ENOND MOBILIER,contact@danielenond-mobilier.fr,Bressuire,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Joël DE FREITAS"
D.@.D Informatique,contact@dadinformatique.com,Nuaille,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Alexandre DOINEAU"
CALONNA Informatique,contact@calonna.com,Chalonnes-Sur-Loire,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Anthony Grimaud"
La Boutique Informatique,contact@boutique-informatique.fr,Segre,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : David Priou"
Athena Informatique,contact@athena-informatique.com,Nantes,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Jean-Paul Attard"
SARL ATERIS INFORMATIQUE,contact@ateris.fr,Les Herbiers,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Yohan LERIN"
Alexis Léglise informatique,contact@alexisleglise.fr,Saint Hilaire De Clisson,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Alexis Léglise"
SARL AJYP Informatique,contact@ajyp.fr,Saint-Andre-De-La-Marche,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Yvon QUESSON"
85 MICRO,contact@85micro.fr,La Roche-Sur-Yon,Maintenance & Support IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Stéphane VALET"
Ordi Pro Assistance (Docteur Ordinateur),contact49@docteurordinateur.com,Angers,Maintenance & Support IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Christophe PITAUT"
SBS Informatique,christophe.socheleau@groupe-sbs.fr,Vezins,Informatique / IT,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
INETUM La Chapelle sur Erdre,christophe.guilbaud@inetum.com,La Chapelle Sur Erdre,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Christophe GUILBAUD"
POINT SERVICE MOBILE,cholet@allopsm.fr,Cholet,Informatique / IT,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
Prévention et sécurité rouière,chauvel.olivier@neuf.fr,Pont L'Abbe,Cybersecurite,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
HELPLINE,carole.malherbe@helpline.fr,Nanterre,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Carole MALHERBE"
NETX Informatique,c.bonneau@netxinformatique.fr,-,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : C BONNEAU"
Bureau Vallée,bmi.bvpontivy@orange.fr,Pontivy,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Mickaël FRABOULET"
CHOLET INFORMATIQUE,b.trichereau@chronoinfo.fr,Cholet,Informatique / IT,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
CENTAURUS DEVELOPPEMENT,aurelie.aubineau@agena3000.com,Cholet,Developpement & Logiciel,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
AS Informatique,as-informatique@wanadoo.fr,Angers,Informatique / IT,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
COLONNA INFORMATIQUE,anthony@colonna.com,Chalonnes-Sur-Loire,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Anthony GRIMAUD"
MICRO TECH SD,angers@docteur-it.com,Angers,Maintenance & Support IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Sébastien DELAUNAY"
@ddix-informatique,aizenay@addix-informatquecom,Aizenay,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Moinard"
ACJ2L Informatique,acj2l.fr-contact@acj2l.fr,Brissac-Quince,Informatique / IT,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
DRB Méthodes et Applications,Valentin.Lemonnier@drbmea.com,Lys-Haut-Layon,Developpement & Logiciel,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Valentin Lemonnier"
M INFORMATIC 49,Minformatic49@gmail.com,Brissac-Quince,Informatique / IT,entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants
cdl elect,Benjamin.morant@cdl-elect.fr,Saumur,Electronique & Systemes,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Benjamin Morant"
Collège saint Joseph service informatique,error-lite@duckduckgo.com,Longue-Jumelles,Informatique / IT,"entreprise ayant accueilli des etudiants BTS en stage - familiere avec les alternants, contact : Thierry Belanger"
